skater_name,skater_country,event,location,date,segment,tss,bv,tes,pcs
Valentina Marchei Ondrej Hotarek,ita,2017 Warsaw Cup,Warsaw / POL,"Nov. 19, 2017",long,126.44,59.70,64.44,62.00
Valentina Marchei Ondrej Hotarek,ita,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",long,119.54,52.80,58.78,61.76
Valentina Marchei Ondrej Hotarek,ita,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,132.88,59.80,68.76,64.12
Valentina Marchei Ondrej Hotarek,ita,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,125.40,57.30,62.60,62.80
Valentina Marchei Ondrej Hotarek,ita,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",long,120.79,59.90,62.26,60.53
Valentina Marchei Ondrej Hotarek,ita,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",long,107.20,51.88,51.48,55.72
Valentina Marchei Ondrej Hotarek,ita,2016 Lombardia Trophy,Bergamo / ITA,"Sept. 11, 2016",long,120.16,55.00,60.00,60.16
Nicole Della Monica Matteo Guarise,ita,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,64.53,29.30,32.96,31.57
Nicole Della Monica Matteo Guarise,ita,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,70.65,32.00,38.50,32.15
Nicole Della Monica Matteo Guarise,ita,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,63.76,31.00,32.90,30.86
Nicole Della Monica Matteo Guarise,ita,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,65.42,32.10,34.90,30.52
Nicole Della Monica Matteo Guarise,ita,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",short,66.66,31.30,36.26,30.40
Nicole Della Monica Matteo Guarise,ita,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,70.08,34.40,39.31,30.77
Nicole Della Monica Matteo Guarise,ita,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,63.97,33.10,34.63,30.34
Nicole Della Monica Matteo Guarise,ita,2016 GP Cup of China,Beijing / CHN,"Nov. 20, 2016",short,66.39,32.00,36.21,30.18
Nicole Della Monica Matteo Guarise,ita,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,59.25,32.70,32.16,28.09
Nicole Della Monica Matteo Guarise,ita,2016 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 10, 2016",short,64.54,32.80,35.86,28.68
Nicole Della Monica Matteo Guarise,ita,2016 Lombardia Trophy,Bergamo / ITA,"Sept. 11, 2016",short,58.22,32.30,31.74,28.48
Nicole Della Monica Matteo Guarise,ita,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,127.85,56.10,61.85,66.00
Nicole Della Monica Matteo Guarise,ita,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,126.94,55.30,62.97,64.97
Nicole Della Monica Matteo Guarise,ita,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",long,126.49,55.70,61.47,65.02
Nicole Della Monica Matteo Guarise,ita,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",long,128.08,59.60,63.73,64.35
Nicole Della Monica Matteo Guarise,ita,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",long,124.73,56.51,64.17,62.56
Nicole Della Monica Matteo Guarise,ita,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,121.94,52.10,60.17,61.77
Nicole Della Monica Matteo Guarise,ita,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,117.02,56.80,56.10,60.92
Nicole Della Monica Matteo Guarise,ita,2016 GP Cup of China,Beijing / CHN,"Nov. 20, 2016",long,109.99,55.30,52.49,58.50
Nicole Della Monica Matteo Guarise,ita,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",long,119.42,53.40,59.93,59.49
Nicole Della Monica Matteo Guarise,ita,2016 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 10, 2016",long,116.06,55.30,57.74,60.32
Nicole Della Monica Matteo Guarise,ita,2016 Lombardia Trophy,Bergamo / ITA,"Sept. 11, 2016",long,126.96,55.20,64.40,62.56
Xiaoyu Yu Hao Zhang,chn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,70.15,32.30,37.60,33.55
Xiaoyu Yu Hao Zhang,chn,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",short,73.67,31.00,39.88,33.79
Xiaoyu Yu Hao Zhang,chn,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,71.37,32.30,38.46,32.91
